id,abstract,conclusion,n_conclusion_sections,total
1211.1095,3,17,2,20
1406.4509,2,10,2,12
1511.06354,9,11,1,20
1606.01304,1,21,2,22
1505.07620,4,18,2,22
1705.05868,2,13,2,15
0710.1092,1,1,1,2
1601.00874,1,1,1,2
1505.00568,2,22,2,24
1603.05981,4,74,2,78
astro-ph/0305050,2,2,1,4
1403.1299,2,2,1,4
0909.3092,3,13,2,16
1502.01064,1,21,2,22
1206.0665,4,2,1,6
astro-ph/9903005,2,1,1,3
astro-ph/9705259,4,3,1,7
1205.1369,1,2,1,3
astro-ph/9909172,1,2,2,3
astro-ph/9912378,2,2,1,4
1608.01855,1,3,2,4
astro-ph/0106390,5,1,1,6
1502.01024,1,4,2,5
astro-ph/0107468,6,3,1,9
1709.04561,1,2,2,3
1507.07553,1,9,2,10
1005.5353,2,4,2,6
1011.2300,1,3,1,4
1504.08224,1,1,1,2
1205.4573,3,4,1,7
1511.06930,1,8,2,9
1412.2652,2,4,2,6
astro-ph/9903161,1,7,2,8
astro-ph/0611900,4,5,2,9
1107.0982,1,6,1,7
astro-ph/0508091,2,4,1,6
1701.07265,1,15,2,16
1004.1809,3,2,1,5
astro-ph/9906275,2,3,1,5
1503.02661,5,2,1,7
astro-ph/0501615,2,17,2,19
0704.0513,2,2,1,4
astro-ph/0106206,1,1,1,2
1408.2681,4,7,1,11
astro-ph/0305357,1,2,2,3
1302.5432,2,2,2,4
1611.01123,1,48,2,49
1310.0019,1,20,3,21
0905.3401,3,9,2,12
astro-ph/0111151,1,15,2,16
0710.5701,5,4,1,9
astro-ph/0611155,1,2,1,3
1408.3980,2,31,2,33
0910.0723,9,7,1,16
1203.2648,3,2,1,5
astro-ph/0001387,4,4,1,8
1302.4503,2,1,1,3
0909.2168,2,4,1,6
astro-ph/9706242,4,4,1,8
1607.03487,3,2,1,5
1509.08941,1,15,2,16
astro-ph/0605018,2,21,2,23
astro-ph/0604234,3,7,2,10
1111.6622,1,1,2,2
astro-ph/0604270,1,8,2,9
astro-ph/0204525,1,1,1,2
astro-ph/9802121,4,8,1,12
astro-ph/0212422,2,1,1,3
1511.03470,2,7,2,9
1205.5060,1,1,1,2
0907.0018,2,6,2,8
1304.1669,1,23,2,24
astro-ph/0410640,2,1,1,3
1607.07540,4,5,1,9
astro-ph/0503384,2,17,2,19
0711.3697,1,1,1,2
0908.0536,3,15,2,18
1602.02287,1,12,2,13
1206.2103,1,2,1,3
1303.3886,2,2,1,4
0803.0551,2,3,2,5
1603.00881,5,3,2,8
astro-ph/0610157,2,36,2,38
1103.4631,8,11,1,19
astro-ph/0408028,11,23,2,34
1407.4257,2,2,1,4
astro-ph/9910481,6,7,1,13
1403.4170,5,13,2,18
0902.1745,2,19,2,21
1405.5738,2,4,1,6
astro-ph/0611756,1,3,1,4
astro-ph/0308009,1,12,2,13
astro-ph/9806151,1,6,1,7
astro-ph/0301067,1,2,1,3
astro-ph/0402282,2,2,2,4
1112.1409,3,3,1,6
astro-ph/0208266,4,4,1,8
1303.0036,2,20,2,22
1111.6855,8,6,2,14
astro-ph/0604111,2,1,1,3
